,NRMSE_Elbow,NRMSE_Shoulder,Slope_Elbow,Slope_Shoulder,Correlation_Elbow,Correlation_Shoulder
vol01_freq02_amp01,0.7737104068531406,0.7617908382595416,0.34808432858650046,0.32567273238242483,0.44211737095131615,0.43054570426765243
vol01_freq02_amp02,0.6677250018400448,0.6096107739863581,0.4493346286517043,0.5639050297224473,0.5838222931654595,0.6827654470596277
vol01_freq03_amp01,0.6114588046229542,0.6978363554392424,0.5549917680514729,0.48029213292733675,0.6698894560140027,0.554004967855072
vol01_freq03_amp02,0.5388906645463847,0.627671226114888,0.6731308455760346,0.5859879074589108,0.737635231888409,0.6546257944716424
vol03_freq02_amp01,0.9291857553560721,0.8853569497539006,0.247331447538802,0.14218022612255687,0.2582800231170751,0.20295006554358244
vol03_freq02_amp02,0.7755938252592227,0.7327996218793558,0.3781179041561778,0.4394169987296674,0.44406362295292806,0.521942992575369
vol03_freq03_amp01,0.6524387579059434,0.8395427715818834,0.5380221521144282,0.3421846679142754,0.6219414156270153,0.3878049576775019
vol03_freq03_amp02,0.7276012139082921,0.8355750993388374,0.4120187740160476,0.3361509228666364,0.511227380004243,0.37587808121311783
vol04_freq02_amp01,0.7591888132063183,0.82465984320148,0.33215155896653165,0.23587833394876764,0.44653763754662557,0.3077497046584544
vol04_freq02_amp02,0.6488379526799573,0.7625130479040519,0.5810681296492989,0.3803754781370494,0.6362596279013116,0.4760145976076965
vol04_freq03_amp01,0.6198383776264346,0.7346865813187479,0.5708617852911055,0.3813527288024075,0.6671708791274749,0.4773202462252993
vol04_freq03_amp02,0.6086898956275921,0.6351724619000237,0.5356152732243933,0.5482157503547523,0.6503577070354699,0.6480323421804138
vol05_freq02_amp01,0.8388498145875011,0.8374519488932153,0.20058405845191968,0.2250974250369966,0.2669927272274282,0.3085079827264275
vol05_freq02_amp02,0.8867720929318463,0.8060400905834494,0.1983296054060873,0.34173361252368917,0.2531014754801711,0.4088578116031168
vol05_freq03_amp01,0.9778893001517874,0.9983672675405292,0.3007484280212102,0.07920804168073688,0.28764699774573926,0.10115085722384205
vol05_freq03_amp02,0.6694154062169547,0.770362467966794,0.5491833901798272,0.3901885444226998,0.6079996413307752,0.3234631555350922
vol08_freq02_amp01,0.6508225450035894,0.8026498105371497,0.5234993504938449,0.2554471235371952,0.6305031150604994,0.384365653502181
vol08_freq02_amp02,0.633822276276502,0.5858372761717413,0.6767389023134984,0.5741398130266584,0.6594145830253288,0.6972422899434887
vol08_freq03_amp01,0.5775792604643365,0.6228770376260646,0.7050993422179493,0.4975739917051721,0.7270152842858669,0.6373797441202553
vol08_freq03_amp02,0.5123972093101753,0.6221677501307764,0.7477658853065375,0.5690655594045738,0.7866258231069699,0.6409718604889868
vol10_freq02_amp01,0.7405072095913275,0.7571309588473645,0.47378968856041814,0.4224945917196242,0.5321142771788427,0.48395054511079966
vol10_freq02_amp02,0.6297447724888782,0.6535893328669065,0.48659020000304753,0.41087958611635167,0.6262967104838094,0.5706329647122929
vol10_freq03_amp01,0.6778805813147574,0.700739824712881,0.5019094377718079,0.3882678437436968,0.5901129537290386,0.5173214970585347
vol10_freq03_amp02,0.73628222546033,0.7581805968860077,0.3912224108950879,0.5642414398769272,0.2621857469522064,0.43789385559874194
count,24.0,24.0,24.0,24.0,24.0,24.0
mean,0.7018800901345976,0.7442754138933828,0.4740078873101556,0.3949979367567314,0.5374713325390835,0.46797387995663287
std,0.11795676765971781,0.1014690530367821,0.15351933105335938,0.14017983940547346,0.166856387573103,0.1550262361903235
min,0.5123972093101753,0.5858372761717413,0.1983296054060873,0.07920804168073688,0.2531014754801711,0.10115085722384205
25%,0.6272681737732673,0.6489851151251858,0.37060951026375843,0.3335313752455835,0.44357705995252505,0.3822437604299152
50%,0.6685702040284998,0.7576557778666861,0.4942498188874277,0.3892281940831983,0.599056297529907,0.4766674219164979
75%,0.7628192116180239,0.8106950287379571,0.558959272361381,0.5102344313675672,0.6526219260329347,0.5873196595642834
max,0.9778893001517874,0.9983672675405292,0.7477658853065375,0.5859879074589108,0.7866258231069699,0.6972422899434887
