,NRMSE_Elbow,NRMSE_Shoulder,Slope_Elbow,Slope_Shoulder,Correlation_Elbow,Correlation_Shoulder
vol01_freq02_amp01,0.8165107351341986,0.8196140579857293,0.36577078452451867,0.33638669273294886,0.41277258965473973,0.3881845698187005
vol01_freq02_amp02,0.7385514434713228,0.6391920205568984,0.4496883995332001,0.5777008947703093,0.5128218214881288,0.655308156547171
vol01_freq03_amp01,0.6267028964900093,0.6723171279409144,0.5493409953780696,0.5091776967720292,0.6540439987236027,0.5890094275806599
vol01_freq03_amp02,0.6179411591837886,0.6056813096660832,0.616030308613042,0.597078065271661,0.6541085045007224,0.6749691777846095
vol03_freq02_amp01,0.9046659940940485,0.9273275581199887,0.16854977106826355,0.1872154608940802,0.2138449907235877,0.22329406543563438
vol03_freq02_amp02,0.7969604703831883,0.7830919418162959,0.36109373821959306,0.4210526246989478,0.42308874575730265,0.46535524544020185
vol03_freq03_amp01,0.6865468617878409,0.884568276602776,0.5173111361285642,0.3362510573463619,0.5821390155768585,0.3635896757016355
vol03_freq03_amp02,0.728476056800777,0.8808906489616705,0.4769140367104041,0.3369135898635268,0.5495449025083385,0.3427594566613029
vol04_freq02_amp01,0.7711287666346991,0.916783106183321,0.37706485223792024,0.19765868501726788,0.44645766232030676,0.23166614013218534
vol04_freq02_amp02,0.6947327292476225,0.7366412602144778,0.6181761005507624,0.43881395584581956,0.6189062172924347,0.50666121281587
vol04_freq03_amp01,0.6482325531570192,0.8257150561667462,0.5809181083034082,0.3799168978192694,0.6316961853607969,0.4134720621007932
vol04_freq03_amp02,0.6551118028844146,0.6438649414011488,0.5545476076561889,0.585736438438989,0.6220091345476871,0.6416041730174004
vol05_freq02_amp01,0.8994827936975506,0.9010010220548514,0.2069500943323786,0.20462307798783042,0.25215916988479276,0.2440466066738999
vol05_freq02_amp02,0.9899152211987641,0.8620228474999779,0.18094361317005597,0.3620414889317065,0.19598266160253452,0.3890744872480998
vol05_freq03_amp01,0.9883562669157958,1.0118352173692065,0.4111942373500828,0.1130318798849589,0.3609359866071005,0.12892451830135573
vol05_freq03_amp02,0.7828539077397079,0.7875858485029058,0.5354253405079631,0.44643366075990354,0.47955735443480063,0.3932040634930656
vol08_freq02_amp01,0.7107964400998922,0.8425424700879199,0.4908159415148356,0.27287343397688535,0.580403306237727,0.3540799723840337
vol08_freq02_amp02,0.683860824137467,0.628131228504813,0.6335329166999997,0.6122615373517485,0.6332566112041084,0.6780936595495789
vol08_freq03_amp01,0.6197014408284525,0.653490656305152,0.6672971908734231,0.5191622186236383,0.677602921102671,0.6078083652251814
vol08_freq03_amp02,0.5578895971300765,0.6111344834166478,0.7256506326411463,0.6119248494105798,0.7477198744706274,0.6634781780798448
vol10_freq02_amp01,0.8018255984349741,0.7436983414847456,0.44403295874616466,0.43053168125446595,0.4505366431787413,0.47489920687927123
vol10_freq02_amp02,0.6540243370047752,0.6468317133333412,0.4866447778836945,0.46739039456824644,0.6026929078299891,0.5822743842295981
vol10_freq03_amp01,0.6465543852779064,0.7544632891343852,0.533499796752037,0.3926357653742345,0.6326790482541681,0.4789261283753487
vol10_freq03_amp02,0.6845043865557288,0.9616943710449987,0.5641652912035506,0.5953861430548993,0.5979434776262195,0.22708111113717233
count,24.0,24.0,24.0,24.0,24.0,24.0
mean,0.7377219445120842,0.7808382830981248,0.4798149429416361,0.41384159127709613,0.5222043221203329,0.44657350185885897
std,0.11638336034494198,0.1227916365623727,0.14706478519339555,0.14759685513622647,0.150446256651881,0.16523298375684445
min,0.5578895971300765,0.6056813096660832,0.16854977106826355,0.1130318798849589,0.19598266160253452,0.12892451830135573
25%,0.6525763910428363,0.6518259205621993,0.4026618910720422,0.33635278388630213,0.44061543317955576,0.35124984345335103
50%,0.7027645846737574,0.7853388951596009,0.5040635388216999,0.42579215297670686,0.5812711609072927,0.4394136537704975
75%,0.7981767523961347,0.8818100558719468,0.568353495478515,0.5337968876603061,0.6319419010841396,0.5937091619917902
max,0.9899152211987641,1.0118352173692065,0.7256506326411463,0.6122615373517485,0.7477198744706274,0.6780936595495789
