,NRMSE_Elbow,NRMSE_Shoulder,Slope_Elbow,Slope_Shoulder,Correlation_Elbow,Correlation_Shoulder
vol01_freq02_amp01,0.7509061698526395,0.723393454711752,0.34013639762773656,0.3312164766204209,0.46055073936545754,0.48361862093508584
vol01_freq02_amp02,0.6307462430015705,0.5946575989975411,0.5333586541158882,0.5375529596347065,0.6377816047422459,0.6774146674964258
vol01_freq03_amp01,0.5724872897996856,0.698571023551297,0.5656432851453636,0.45544345239333117,0.7018152798413008,0.5277167417154492
vol01_freq03_amp02,0.5048762041602216,0.6034316616394237,0.6731264361148053,0.5413878074899614,0.7678291744228899,0.6487500166080746
vol03_freq02_amp01,0.8555647144463365,0.8784135213461524,0.18143837643119087,0.10468434587897735,0.26267025286595086,0.15909994169866126
vol03_freq02_amp02,0.7416169954181888,0.746450365795507,0.3564419421922205,0.45376660586450324,0.45842872108960026,0.5191418494103675
vol03_freq03_amp01,0.7011399535059857,0.8168118656648332,0.5092327288965294,0.34447505297870096,0.565850056582372,0.3963875930155462
vol03_freq03_amp02,0.651117904863213,0.7808715991500369,0.44186880129445,0.3260727214613984,0.5890397738682406,0.40945334284931756
vol04_freq02_amp01,0.7163827249549541,0.7903222860909684,0.3881814613992541,0.22261819105834968,0.5021486935506093,0.3349119553536922
vol04_freq02_amp02,0.6484059086496985,0.7832053044373513,0.6073584638842997,0.374226429881236,0.6463272489831253,0.4538237563893018
vol04_freq03_amp01,0.5960683284996572,0.7172558866731865,0.5644071887607434,0.43365844523212843,0.6671621177004516,0.49523275468512695
vol04_freq03_amp02,0.6109193523147667,0.6628604899941924,0.48003080790200864,0.5895379820986599,0.6370179600252132,0.6262078005911571
vol05_freq02_amp01,0.8918622207414427,0.8211829309593899,0.20882084645511986,0.21241771061201248,0.25267738370760917,0.3234093067736466
vol05_freq02_amp02,0.8422279223329976,0.7776189447707148,0.1772616157417385,0.34797344332847713,0.25792530611151815,0.4352422793972942
vol05_freq03_amp01,1.0153074935387874,1.0153807219601692,0.24171979813484865,0.04111414177630693,0.24062416248758667,0.04895603970958049
vol05_freq03_amp02,0.7776967425441518,0.7999937536220354,0.5660682582849421,0.33848001059030725,0.4396180538365345,0.25684343722145697
vol08_freq02_amp01,0.665827141071128,0.732779058179541,0.5230440052112192,0.32056660407764787,0.6205175093885099,0.467488290704316
vol08_freq02_amp02,0.5891939919928378,0.5378144479380904,0.5759093478289653,0.6306643839032077,0.692076353992394,0.7528546755804334
vol08_freq03_amp01,0.5618642611630735,0.6131696200038074,0.686046656208098,0.5433908738829124,0.7219083512100409,0.6647409795318968
vol08_freq03_amp02,0.5123978266263444,0.5768532492117735,0.7707256492626788,0.5917693098692111,0.7776592216418591,0.6965789633219447
vol10_freq02_amp01,0.7017202461614973,0.7522617880337247,0.4125981094316562,0.45678236692600693,0.5360523627886192,0.4975570412422558
vol10_freq02_amp02,0.5902626146598385,0.6595070101023712,0.5268967036059641,0.4007085668160775,0.6793538369394416,0.5556997170326236
vol10_freq03_amp01,0.677942823434297,0.6915054964746989,0.5050005413181745,0.41665225838701764,0.5839629994331911,0.5263299674711797
vol10_freq03_amp02,0.5905499122778199,0.7565188652033368,0.5923418258595379,0.5161525665022465,0.683021160969199,0.42504449586843196
count,24.0,24.0,24.0,24.0,24.0,24.0
mean,0.6832118744171306,0.7304512893546623,0.4761524125461431,0.3971380294693252,0.557584096897665,0.47427100977513614
std,0.12505218592844228,0.10581857698876566,0.1605108358486921,0.15017087352828934,0.16607111818515066,0.1691078238893665
min,0.5048762041602216,0.5378144479380904,0.1772616157417385,0.04111414177630693,0.24062416248758667,0.04895603970958049
25%,0.5904780878733246,0.6620221200212372,0.3802465815974957,0.3299305378306653,0.46002023479649323,0.4061869053908747
50%,0.6584725229671704,0.739614711987524,0.5161383670538743,0.4086804126015476,0.6047786416283752,0.4894256878101064
75%,0.7439392890268015,0.7849845498507555,0.5685285306709479,0.5215026647853616,0.680270667946881,0.573326737922257
max,1.0153074935387874,1.0153807219601692,0.7707256492626788,0.6306643839032077,0.7776592216418591,0.7528546755804334
