,NRMSE_Elbow,NRMSE_Shoulder,Slope_Elbow,Slope_Shoulder,Correlation_Elbow,Correlation_Shoulder
vol01_freq02_amp01,0.8558328907391879,0.7924123978512635,0.24835101766318277,0.3129913566709293,0.303150456665933,0.4018775673217933
vol01_freq02_amp02,0.7054767004909165,0.6243712329298836,0.4576386299883283,0.5602982875336098,0.5551684486097591,0.6612873182433738
vol01_freq03_amp01,0.6277566313632095,0.6494984096571215,0.5355381275538997,0.48032757434863244,0.6435173994607837,0.603203919979375
vol01_freq03_amp02,0.5505237720222138,0.650038081609506,0.647574634035891,0.5159653152300314,0.7325717232679874,0.6140861621701537
vol03_freq02_amp01,0.941135529040167,0.8861606545827654,0.16876925870927148,0.1506270215031664,0.20201160387802675,0.19567501070695761
vol03_freq02_amp02,0.7777671789505767,0.796251624488714,0.3607267168606654,0.44181573736039526,0.43556575728595553,0.47181896547281776
vol03_freq03_amp01,0.6771563768403355,0.8904965119761378,0.4768536762333727,0.31066774832505933,0.5674550944149482,0.3504325017778985
vol03_freq03_amp02,0.6970536045261428,0.8452585475239055,0.3954082668020746,0.2951886850500633,0.5262182464264946,0.3329285661741837
vol04_freq02_amp01,0.7523532151971032,0.8045526749122347,0.36821712764398984,0.26511754890259187,0.45967982469967456,0.3449518628916509
vol04_freq02_amp02,0.6572915300869422,0.7764257838785554,0.6076535081433653,0.32178747676721015,0.6341694835459448,0.4129848072186333
vol04_freq03_amp01,0.6241660782496444,0.7945242486550547,0.5699697257763203,0.3790810844289875,0.6452651197189953,0.432642515636043
vol04_freq03_amp02,0.644914615190068,0.6773360646139264,0.5462561654238026,0.516042968826257,0.6197466964236177,0.5988455868782149
vol05_freq02_amp01,0.8656233144988663,0.862843200212779,0.20089392895765038,0.23165841053883127,0.25931365721637106,0.30653753142850987
vol05_freq02_amp02,0.8523535540807612,0.7544632124434455,0.24169312688771477,0.40671045171179465,0.31335800512772755,0.47221644879076236
vol05_freq03_amp01,1.028491283517519,0.9895622540346333,0.29156377133297723,0.11097837101404077,0.27076803294697466,0.1287872292510231
vol05_freq03_amp02,0.7180405686493481,0.8851073660543193,0.5451968351250396,0.3166405688574128,0.5390523338178008,0.16983473663533366
vol08_freq02_amp01,0.7213881844980748,0.8440140518867605,0.4660305096802182,0.2746353162453974,0.5555139772994163,0.34769196654743567
vol08_freq02_amp02,0.6553834013933462,0.5877047039909056,0.6005345771933326,0.6151158488364341,0.6475579539849249,0.7044670388087718
vol08_freq03_amp01,0.5630023220756099,0.6242602147052543,0.7178907262251273,0.5482428736965632,0.7385210345986027,0.6440428747904626
vol08_freq03_amp02,0.5576644402717272,0.6262250156372913,0.746956732311726,0.5856357263666732,0.7443048370435459,0.6566833485348629
vol10_freq02_amp01,0.7579095108140581,0.7469664155857334,0.4432656052405494,0.4504671705237124,0.4962085515932946,0.49598120070884627
vol10_freq02_amp02,0.6413025619754495,0.6487381105958525,0.48259490363413093,0.3991697778892689,0.6159543118476878,0.5363379276552311
vol10_freq03_amp01,0.706562814353671,0.6932983483357731,0.5110567828352257,0.38241341977761684,0.5627084609713606,0.516096856317265
vol10_freq03_amp02,0.626806385653947,0.7289792891776471,0.5492619703070046,0.528368458630309,0.6499365187992493,0.47373574215225284
count,24.0,24.0,24.0,24.0,24.0,24.0
mean,0.7169148526866201,0.7574786839724776,0.4658290135235359,0.3916644666264579,0.5299048970685449,0.4530478202538271
std,0.12080057285746465,0.10741792299670505,0.156620248704699,0.13661170220131796,0.15830826060534792,0.16065167269728065
min,0.5505237720222138,0.5877047039909056,0.16876925870927148,0.11097837101404077,0.20201160387802675,0.1287872292510231
25%,0.6379160793223895,0.6499031636214099,0.3663445249481587,0.3067979825063103,0.4536513078462448,0.34700694063348947
50%,0.7012651525085296,0.7654444981610005,0.4797242899337518,0.39079159883344283,0.5591112191353884,0.47201770713179003
75%,0.7628739278481877,0.8443251757960467,0.5544389091743336,0.5159847286290878,0.6439543295253366,0.599935170153505
max,1.028491283517519,0.9895622540346333,0.746956732311726,0.6151158488364341,0.7443048370435459,0.7044670388087718
