,NRMSE_Elbow,NRMSE_Shoulder,Slope_Elbow,Slope_Shoulder,Correlation_Elbow,Correlation_Shoulder
vol01_freq02_amp01,0.8043180403147727,0.7173548865894699,0.2881238995009452,0.34269746163501097,0.3807169563385788,0.4849332973292371
vol01_freq02_amp02,0.6562022208484395,0.5856185510393691,0.4825553236518312,0.5730844493673807,0.6075921279399963,0.7042226869691411
vol01_freq03_amp01,0.6039327801627452,0.6494301307039232,0.5308682760972772,0.5161391934424949,0.6562068657579931,0.6208490753742253
vol01_freq03_amp02,0.5308651600394214,0.632175252215247,0.6650757154241075,0.5511329870644956,0.754267599050638,0.6294026801828778
vol03_freq02_amp01,0.8883415399893968,0.8487446559830877,0.22739425400195562,0.16190953156656415,0.26428226819611594,0.22763019178610663
vol03_freq02_amp02,0.7770787112188705,0.7038490461924363,0.38562891014675427,0.46174842629130264,0.4598987114787316,0.5403668912522865
vol03_freq03_amp01,0.7049484527303311,0.898075912380964,0.4409898712539162,0.38651868621776075,0.49564541255689715,0.35924700273556687
vol03_freq03_amp02,0.6558836571138069,0.8395101968156007,0.45215359964692164,0.2738674824587404,0.5755731872548607,0.3229771567421198
vol04_freq02_amp01,0.7829210660221596,0.7817194562970757,0.32875893258276995,0.2217469137116173,0.41988988290368157,0.35774536046330807
vol04_freq02_amp02,0.6505874996482648,0.7599008554938069,0.5622287054991432,0.38740130740955925,0.6246000293773688,0.47282105823551446
vol04_freq03_amp01,0.5804016439645263,0.8085383435597676,0.5523501508062214,0.3211337812107848,0.6589686737545865,0.39117415213443146
vol04_freq03_amp02,0.6347044804995545,0.6882080787979762,0.5085641654289895,0.4884938095833375,0.6264305825407901,0.574686774131244
vol05_freq02_amp01,0.8229495832095344,0.8211730979640085,0.23951661370409605,0.21245126476298667,0.3220039861165555,0.3110675007305369
vol05_freq02_amp02,0.8475657934020967,0.7811984569137751,0.20917806178563184,0.36821260388843086,0.2806230622745389,0.4442283519588055
vol05_freq03_amp01,0.9958338151308392,1.0761197352609373,0.271206890732049,0.09399499241998473,0.2575115501783438,0.10390471600811946
vol05_freq03_amp02,0.7709834157710478,0.8543641711786503,0.5218339541968923,0.2958389201905196,0.4422175903780536,0.14843378201818264
vol08_freq02_amp01,0.6656013665139388,0.7705152940464518,0.48258652938180663,0.29887393801987516,0.5970391327315189,0.4172284330997728
vol08_freq02_amp02,0.6062258704593966,0.579544923131853,0.7004365498723896,0.5707707702177445,0.6747337227823905,0.6846650126650726
vol08_freq03_amp01,0.5845657426127513,0.6386307880551821,0.6674399093907617,0.4874186561738815,0.6976476280695874,0.6231005313178652
vol08_freq03_amp02,0.4952745214735536,0.6066637194358994,0.7653625740155217,0.5618550646440442,0.7942056962340678,0.6588303024373557
vol10_freq02_amp01,0.6758873112216306,0.7372658190283213,0.49812886941514484,0.4031162534919473,0.5759412456948022,0.47057849872501445
vol10_freq02_amp02,0.565872660348713,0.6332497614232403,0.5248095978168352,0.4240781801304511,0.7002844176045165,0.5868266076720485
vol10_freq03_amp01,0.6151600857065834,0.7060728839831529,0.5685834736058685,0.39641728547791305,0.6668448808652192,0.4970042766162602
vol10_freq03_amp02,0.6274409197555083,0.7362245209768968,0.5619390830521929,0.5056044738196434,0.6269581392299619,0.4666314617601718
count,24.0,24.0,24.0,24.0,24.0,24.0
mean,0.6893144307565785,0.7439228557277956,0.4764880796254176,0.38768776804985294,0.5483368062212414,0.46243982509771947
std,0.12244999272589321,0.11477519087106475,0.15360164784688107,0.1341907351338488,0.1591057850410511,0.16351317983371846
min,0.4952745214735536,0.579544923131853,0.20917806178563184,0.09399499241998473,0.2575115501783438,0.10390471600811946
25%,0.6056525978852337,0.646730295041738,0.3714114157557582,0.2981151835625363,0.4366356635094606,0.3588715921675022
50%,0.6560429389811232,0.7367451700026091,0.5033465174220672,0.3919092964437362,0.6023156303357575,0.47169977848026445
75%,0.7785392999196927,0.8116970321608279,0.5620114886639305,0.49277147564241397,0.6609377255322446,0.5953322245975927
max,0.9958338151308392,1.0761197352609373,0.7653625740155217,0.5730844493673807,0.7942056962340678,0.7042226869691411
