,NRMSE_Elbow,NRMSE_Shoulder,Slope_Elbow,Slope_Shoulder,Correlation_Elbow,Correlation_Shoulder
vol01_freq02_amp01,0.8307494636239278,0.8295899987445263,0.3953998700390345,0.311359082086256,0.42297628231722745,0.3729215457411821
vol01_freq02_amp02,0.7079764610905137,0.6199290019341549,0.4737722828866127,0.6214088804804606,0.5447428095810805,0.6780199646322291
vol01_freq03_amp01,0.6493324868181282,0.7358498587059236,0.5532606872832917,0.4896660853098485,0.6344137279791747,0.5377598742864755
vol01_freq03_amp02,0.6105697553032383,0.7146719300436477,0.6778180697932514,0.5900588510599197,0.657597151341033,0.5372488031444899
vol03_freq02_amp01,0.9994517109404402,0.952550547224924,0.220941161041542,0.18653502904726701,0.21199228292609765,0.2099167075817084
vol03_freq02_amp02,0.8344020609814621,0.8366833742856977,0.41213788533396123,0.47081497801804384,0.4198018338487069,0.4672145884423852
vol03_freq03_amp01,0.6874500331078055,0.8618055825290799,0.5800427290464416,0.34789547379607383,0.5776210191783603,0.37679398725364266
vol03_freq03_amp02,0.7920097287721415,0.9086640052257354,0.48539758659564414,0.24920054559883348,0.4698177642921378,0.2769351497781278
vol04_freq02_amp01,0.8162436362528677,0.8667510494960278,0.3342255018658933,0.20612691676962897,0.39315472511657934,0.2617436074717292
vol04_freq02_amp02,0.7425881157745164,0.796129819967456,0.5848370007087248,0.4005364280116942,0.5704554332940891,0.44431934658217676
vol04_freq03_amp01,0.6609666063531011,0.7759284330248631,0.5270390494079757,0.3782037749384321,0.6082860222545561,0.449631011534209
vol04_freq03_amp02,0.682386269233088,0.6779857311014965,0.4805578521653047,0.5344579556533221,0.5579700278911929,0.6077270836934516
vol05_freq02_amp01,0.8930582651331067,0.9404238099965249,0.27353575116574047,0.1685068197469772,0.30232465923500923,0.19647883551513504
vol05_freq02_amp02,0.9511087334960503,0.8973748766000476,0.19279060200554562,0.3470548265652199,0.2144879946400875,0.34211369153015564
vol05_freq03_amp01,1.0459083354425125,1.0537628256835483,0.2915163256123942,0.10812340883458124,0.2595777007377714,0.11711713426631222
vol05_freq03_amp02,0.707358424495671,0.8251370094385846,0.5650205759852069,0.4127041511442954,0.5835084497324817,0.2943053306511029
vol08_freq02_amp01,0.711704242913289,0.8264198170594688,0.6032618410132009,0.2871747613106096,0.616308967966982,0.37305272045227567
vol08_freq02_amp02,0.7160646697306585,0.6780075290349754,0.7039816135682404,0.637348865683508,0.5876605435221335,0.5819838375007758
vol08_freq03_amp01,0.6337232454108622,0.6861082006075382,0.7240843935185258,0.49276883013272443,0.6951465453311236,0.5765708953793618
vol08_freq03_amp02,0.5795882754645656,0.630531347085228,0.7914787513368026,0.605956264382761,0.7337595140459806,0.6582757778824616
vol10_freq02_amp01,0.7791499771162167,0.839146683272278,0.4621251578528468,0.3801202253994383,0.4984931576601447,0.40488313833672634
vol10_freq02_amp02,0.6681018137872565,0.6995535250859043,0.47586108700988755,0.3875496620822523,0.5832277401946827,0.5091102330267753
vol10_freq03_amp01,0.7164577971767658,0.7682336779452711,0.5019245343631975,0.4005508606953616,0.5497313812568653,0.46571118522757843
vol10_freq03_amp02,0.8875861858670417,0.9916582262522854,0.27346479817677466,0.6818876690884432,0.11095369968137464,0.24356663725660574
count,24.0,24.0,24.0,24.0,24.0,24.0
mean,0.7626640122618845,0.8088707025143829,0.4826864628240017,0.404000431076498,0.49183372641770307,0.4159750452986281
std,0.12319340730837734,0.11493942985547105,0.16165357082109685,0.15806998228681773,0.16643144586661035,0.1533901254447241
min,0.5795882754645656,0.6199290019341549,0.19279060200554562,0.10812340883458124,0.11095369968137464,0.11711713426631222
25%,0.6788151553716302,0.7108923288042118,0.3801062779957492,0.3053130018923444,0.413140056665675,0.28996278543285914
50%,0.7162612334537122,0.8257784132490267,0.4829777193804744,0.39404304504697324,0.5538507045740291,0.4246012424594515
75%,0.8316626129633113,0.8744070062720327,0.5812412969620124,0.5031911115128739,0.5928169132052391,0.5373765709299863
max,1.0459083354425125,1.0537628256835483,0.7914787513368026,0.6818876690884432,0.7337595140459806,0.6780199646322291
