,NRMSE_Elbow,NRMSE_Shoulder,Slope_Elbow,Slope_Shoulder,Correlation_Elbow,Correlation_Shoulder
vol01_freq02_amp01,0.7789991456045061,0.7449065893995955,0.3040788871347615,0.3080624206709887,0.41896548735085426,0.4310285031123551
vol01_freq02_amp02,0.6813601414464502,0.5804979335423874,0.45740483619980876,0.5597660707547953,0.5757233288567205,0.7052917342478981
vol01_freq03_amp01,0.5909714453957059,0.6435409362836153,0.5666457049419096,0.5124750335808995,0.6918518067299014,0.6116016378776792
vol01_freq03_amp02,0.5036202994069222,0.592905526260672,0.6822506956463265,0.5759177619280391,0.7786928888001214,0.6737379620948696
vol03_freq02_amp01,0.8159261238774748,0.8161330635928108,0.20705647242849648,0.18083631791133098,0.3131367710869808,0.2645255481715793
vol03_freq02_amp02,0.7116774565705244,0.7415012522632437,0.39077937144411484,0.42632827716924654,0.5025255725895522,0.5009850609696902
vol03_freq03_amp01,0.6871978916826237,0.8688821047806299,0.554888718901652,0.43485599254793944,0.5774712149033212,0.4012300457596794
vol03_freq03_amp02,0.673496181237202,0.8310354262715841,0.44638513556450166,0.3591786458475068,0.5568636320347657,0.4009339012105544
vol04_freq02_amp01,0.7546467311943862,0.7829767994848215,0.3483960735118901,0.24216902753022138,0.4764136148779158,0.3709252598188547
vol04_freq02_amp02,0.5976726147716208,0.790682846235651,0.6045685222460901,0.3505255165135216,0.6857827503711709,0.4278258217213502
vol04_freq03_amp01,0.5751444990329817,0.8134561668562539,0.5968612055838524,0.3711496935207442,0.7093995419791388,0.4110570599334219
vol04_freq03_amp02,0.5884142457868041,0.713317806563164,0.5357315268539057,0.5042246568792633,0.677210970813233,0.558549115217468
vol05_freq02_amp01,0.8702711727794814,0.7982903083055275,0.18507208743698872,0.2082204994599209,0.23161814591287883,0.3266820609152727
vol05_freq02_amp02,0.803585426345396,0.7523193227883731,0.22750664182143196,0.3510291452400162,0.32012296518700095,0.4548180313374469
vol05_freq03_amp01,0.9083481551991767,1.0381449468616766,0.3625515119258265,0.08718789946132248,0.3635294682658578,0.0999310391101844
vol05_freq03_amp02,0.6535253898679506,0.851120257036548,0.587641608846065,0.2815176786714281,0.6437202853578949,0.15065607851453572
vol08_freq02_amp01,0.6658048890729956,0.7486566426326807,0.4576655010495804,0.28849734189014886,0.5982003131558216,0.44020443254346053
vol08_freq02_amp02,0.5819690553446935,0.5770144523559065,0.6499711522383864,0.5742068763672322,0.7103808891648304,0.7105791584611836
vol08_freq03_amp01,0.5680972517526409,0.6245854998908504,0.6701355577105731,0.5186449567756128,0.7113182272768199,0.6312119871855465
vol08_freq03_amp02,0.5245219617311958,0.5956963281810744,0.7474009942120347,0.6195655096288321,0.7766567628464401,0.674782454201837
vol10_freq02_amp01,0.6568558768512245,0.7775384768911663,0.4657842500757765,0.4204935003183356,0.5936531665789344,0.4079526472982317
vol10_freq02_amp02,0.6431778891094111,0.647543989488766,0.4675452942710927,0.42321420540519356,0.623475888006005,0.5888321390424839
vol10_freq03_amp01,0.6011522570791872,0.7303994409834136,0.5440733774829045,0.3445617924889078,0.6707206717459981,0.45637651912267285
vol10_freq03_amp02,0.6561281969214307,0.7309684113235059,0.5124515652180077,0.46272768561148164,0.5740050591867079,0.3678209279250337
count,24.0,24.0,24.0,24.0,24.0,24.0
mean,0.6705235124192495,0.7413381053447466,0.4822019455310824,0.39188985442387203,0.574226642628286,0.46114746357472036
std,0.10580850932695036,0.10900441039811273,0.15283228176233363,0.1368525152283175,0.15128891431422686,0.16247270785942222
min,0.5036202994069222,0.5770144523559065,0.18507208743698872,0.08718789946132248,0.23161814591287883,0.0999310391101844
25%,0.5903321454934805,0.6465432261874784,0.38372240656454276,0.30317115097577874,0.4959975831616431,0.39343174086262944
50%,0.6564920368863276,0.7467816160161381,0.4899984297445502,0.3958215969195399,0.595926739867378,0.4356164678279078
75%,0.7224197752264898,0.802081772943209,0.5899465080305119,0.5062872510546723,0.6873000144608535,0.5945245137512827
max,0.9083481551991767,1.0381449468616766,0.7474009942120347,0.6195655096288321,0.7786928888001214,0.7105791584611836
